id_festival,decennie_creation_festival,annee_creation_festival,periode_principale_deroulement_festival
1719,De 1980 à 1989,1989,Avant-saison (1er janvier - 20 juin)
1774,2010 et après,2014,Saison (21 juin - 5 septembre)
1799,2010 et après,2015,Saison (21 juin - 5 septembre)
1804,De 1980 à 1989,1989,Saison (21 juin - 5 septembre)
1813,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
2454,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
2934,,,Avant-saison (1er janvier - 20 juin)
3092,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
6027,,,Saison (21 juin - 5 septembre)
6190,De 2000 à 2009,2006,Saison (21 juin - 5 septembre)
7030,2010 et après,,Avant-saison (1er janvier - 20 juin)
3032,2010 et après,,Avant-saison (1er janvier - 20 juin)
3080,De 1990 à 1999,,Saison (21 juin - 5 septembre)
5974,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
7129,2010 et après,2003,Après-saison (6 septembre - 31 décembre)
5946,2010 et après,2008,Avant-saison (1er janvier - 20 juin)
6025,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
6039,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
4694,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
2816,2010 et après,,Saison (21 juin - 5 septembre)
5010,De 2000 à 2009,,Saison (21 juin - 5 septembre)
6119,De 1990 à 1999,1997,Saison (21 juin - 5 septembre)
7084,2010 et après,2018,Saison (21 juin - 5 septembre)
3924,De 1980 à 1989,1989,Avant-saison (1er janvier - 20 juin)
7014,2010 et après,,Saison (21 juin - 5 septembre)
1192,2010 et après,,Avant-saison (1er janvier - 20 juin)
5919,2010 et après,2011,Saison (21 juin - 5 septembre)
312,De 1990 à 1999,1997,Saison (21 juin - 5 septembre)
287,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
532,De 1990 à 1999,2015,Après-saison (6 septembre - 31 décembre)
880,2010 et après,2010,Saison (21 juin - 5 septembre)
107,De 2000 à 2009,2006,Avant-saison (1er janvier - 20 juin)
801,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
6185,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
2018,2010 et après,2020,Saison (21 juin - 5 septembre)
804,De 1990 à 1999,1998,Avant-saison (1er janvier - 20 juin)
3756,2010 et après,2010,Saison (21 juin - 5 septembre)
1174,De 1980 à 1989,1983,Avant-saison (1er janvier - 20 juin)
3969,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
6530,2010 et après,2012,Saison (21 juin - 5 septembre)
10,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
63,De 1980 à 1989,1982,Avant-saison (1er janvier - 20 juin)
431,2010 et après,2015,Saison (21 juin - 5 septembre)
448,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
944,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
1149,De 2000 à 2009,2000,Avant-saison (1er janvier - 20 juin)
1736,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
1751,De 1990 à 1999,1992,Après-saison (6 septembre - 31 décembre)
1786,De 2000 à 2009,2008,Avant-saison (1er janvier - 20 juin)
3296,2010 et après,2021,Après-saison (6 septembre - 31 décembre)
3615,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
4503,2010 et après,2011,Après-saison (6 septembre - 31 décembre)
4699,2010 et après,2017,Avant-saison (1er janvier - 20 juin)
5214,2010 et après,2011,Après-saison (6 septembre - 31 décembre)
5215,De 1980 à 1989,1982,Avant-saison (1er janvier - 20 juin)
5216,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
5217,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
5390,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
5558,2010 et après,2011,Avant-saison (1er janvier - 20 juin)
6157,2010 et après,2012,Avant-saison (1er janvier - 20 juin)
